 Date   Con   Strat   Tot 
0.1 0 0 0
0.12223047153898127 1 0 1
0.1494028817264171 0 1 1
0.18261584682702608 0 5 5
0.22321221068157776 0 3 3
0.2728333376486768 0 8 8
0.3334854751235185 0 7 7
0.40762086875748876 3 16 19
0.4982369099735705 8 28 36
0.6089973244419449 3 52 55
0.7443803013251689 5 71 76
0.9098595523530434 11 172 183
1.1121256211835888 32 925 957
1.3593563908785256 84 1484 1568
1.6615477264660987 111 1185 1296
2.0309176209047357 75 651 726
2.482400184600118 82 452 534
3.034249451121265 68 321 389
3.7087774117744745 49 254 303
4.533256118743164 40 184 224
5.541020330009492 48 132 180
6.772815277441416 35 83 118
8.278444050080804 41 64 105
10.118781198504509 343 14170 14513
12.368233972929833 365 14708 15073
15.117750706156615 275 11680 11955
18.478497974222908 203 8278 8481
22.586355207213767 97 3521 3618
27.60740847324662 45 919 964
33.74466555654202 23 487 510
41.24626382901352 18 216 234
50.415502770415465 17 85 102
61.623106765027 20 39 59
75.3222139758624 10 28 38
92.06669731629698 9 16 25
112.53355826007646 10 7 17
137.5502989008857 1 4 5
168.12837894983065 2 3 5
205.50411038122337 0 1 1
