Updraft
Height (km).    P99.    P90.     P50
0.5   nan   nan   nan
1.5   6.251085919048435   2.1315770615260834   0.28480574922141993
2.5   5.212868423710765   1.8631981022696174   0.4697509804142116
3.5   5.109610814852226   1.9019190539546678   0.6035153990853359
4.5   5.125461172281258   2.197730908935009   0.75941728726379
5.5   5.1556254010084706   2.589583988050296   0.9462021143715337
6.5   5.680856321060031   3.0214240714433283   1.1894398815853908
7.5   6.613947631275542   3.579787194223435   1.504422616042677
8.5   7.39296459819744   4.296393741410609   1.9062847997187788
9.5   7.781884588896517   4.780823076160352   2.2042485715469127
10.5   9.6353398214709   5.226462019765097   2.2709973162355896
11.5   8.614658394193857   5.608285389533767   2.38737672772454
12.5   4.040987771391331   3.7190315750228984   1.7250232588235306
13.5   nan   nan   nan
14.5   nan   nan   nan
15.5   nan   nan   nan
16.5   nan   nan   nan
17.5   nan   nan   nan
18.5   nan   nan   nan
19.5   nan   nan   nan
Downdraft
Height (km).    P99.    P90.     P50
0.5   nan   nan   nan
1.5   -7.308246103584619   -2.2208119704473352   -0.37873493840515543
2.5   -6.78335214489556   -2.3285344981934735   -0.6510020848563605
3.5   -5.906982970305013   -2.418673817056395   -0.8046003294770018
4.5   -5.7641123484859715   -2.592640485558714   -0.9249717317048927
5.5   -6.500679026150658   -2.82480559670733   -1.0408655049052724
6.5   -7.277001545473128   -3.149261936202516   -1.1762522389417107
7.5   -8.374720274169881   -3.7457749771777302   -1.2932432967287686
8.5   -9.31882978852805   -4.031963772917589   -1.4147509244963001
9.5   -7.090282253816695   -3.7045735391269936   -1.5017102798924697
10.5   -7.486695322507775   -4.182627255198032   -1.817821967764578
11.5   -7.997565125016005   -4.26996045856022   -1.6992194648311247
12.5   -3.399167034411545   -2.6978870073386023   -1.1788254471382462
13.5   nan   nan   nan
14.5   nan   nan   nan
15.5   nan   nan   nan
16.5   nan   nan   nan
17.5   nan   nan   nan
18.5   nan   nan   nan
19.5   nan   nan   nan
ALL
Height (km).    P99.    P90.     P50
0.5   0.0   0.0   0.0
1.5   5.039774494414125   1.0709180146373103   0.01490443360159856
2.5   4.211315555743759   1.130991253509874   0.01933768621214589
3.5   3.9618267187983123   1.291600437420083   -0.0068492698924057255
4.5   4.045550454309283   1.5686723228277022   -0.022480251218160434
5.5   4.334708988624095   1.8896672263400445   -0.03304716484896623
6.5   4.914508984460085   2.275512658464063   -0.015836918167478467
7.5   5.974535115792182   2.827885502849687   0.2285892111252162
8.5   6.792912050213584   3.555722701188725   0.5621926110648878
9.5   7.208174309812501   4.015777188308833   0.6957678604842147
10.5   8.102194814893469   4.273213932869295   0.5084993389585815
11.5   8.033495498404713   4.686487445661194   0.7647970409171867
12.5   4.036798605203441   3.5966255139763836   0.8107165122660991
13.5   nan   nan   nan
14.5   nan   nan   nan
15.5   nan   nan   nan
16.5   nan   nan   nan
17.5   nan   nan   nan
18.5   nan   nan   nan
19.5   nan   nan   nan
