Updraft
Height (km).    P99.    P90.     P50
0.5   nan   nan   nan
1.5   6.776938245610374   2.745182194833577   0.3424728143410101
2.5   5.793795055465419   2.1881189182841156   0.5059543853816358
3.5   5.796305045415301   2.1031176310512745   0.601591014402553
4.5   5.929311343427296   2.2764397808353483   0.7415715637614327
5.5   5.602348901680446   2.5133156069745226   0.9140036044475711
6.5   5.9148053195951436   2.995058472311181   1.073281643986865
7.5   7.009145152568248   3.6453896143591975   1.2706501139886544
8.5   8.397482510746624   4.467775339143646   1.5646937857289807
9.5   11.791787393373681   4.808310123626255   1.611915131930007
10.5   16.522082124588238   6.673622074498451   1.7907848352982214
11.5   4.38406162020905   3.3187165325830876   1.4800650832815148
12.5   nan   nan   nan
13.5   nan   nan   nan
14.5   nan   nan   nan
15.5   nan   nan   nan
16.5   nan   nan   nan
17.5   nan   nan   nan
18.5   nan   nan   nan
19.5   nan   nan   nan
Downdraft
Height (km).    P99.    P90.     P50
0.5   nan   nan   nan
1.5   -5.8929476845928175   -1.8884482218792105   -0.4120859477499005
2.5   -5.388384456683211   -2.0959077760574423   -0.6931601517990326
3.5   -5.3073103026461315   -2.2844911968631774   -0.8614371686046677
4.5   -5.662190247478497   -2.5546678553680158   -1.002083793803458
5.5   -6.5860876658241425   -2.9159102476161927   -1.1522349885471883
6.5   -7.593864386828661   -3.450660947426749   -1.3282553724890125
7.5   -8.320841492016104   -4.274816563701553   -1.4466207981481431
8.5   -9.259173795940937   -5.076734761152753   -1.4708016890861537
9.5   -8.496155027430742   -5.154412550658287   -1.589408726010853
10.5   -6.93236825216936   -5.098745289859959   -1.5644913670792873
11.5   -5.953225020755304   -5.354680708668222   -2.860720989109782
12.5   nan   nan   nan
13.5   nan   nan   nan
14.5   nan   nan   nan
15.5   nan   nan   nan
16.5   nan   nan   nan
17.5   nan   nan   nan
18.5   nan   nan   nan
19.5   nan   nan   nan
ALL
Height (km).    P99.    P90.     P50
0.5   0.0   0.0   0.0
1.5   5.236280581001889   1.3566331393469304   -0.03821770594579746
2.5   4.343675854169704   1.2031362095178482   -0.09099116744482337
3.5   4.225151854234362   1.1994429577128656   -0.1862123171983405
4.5   4.158024951123811   1.411334989995211   -0.25135224822463414
5.5   4.366389589048191   1.7040437999299802   -0.3129076326826076
6.5   4.826377934146808   2.0731171056404762   -0.3637892893916204
7.5   6.044014872137683   2.6138363479022795   -0.15712010903446408
8.5   7.3028742162499665   3.4448037349378042   0.18612734204539189
9.5   10.433222740869569   3.9607363922103067   0.4085829927957658
10.5   12.605492007310962   3.6906404036627793   0.0067457934250509406
11.5   4.322220477464032   3.0652246815025603   0.9122829757648608
12.5   nan   nan   nan
13.5   nan   nan   nan
14.5   nan   nan   nan
15.5   nan   nan   nan
16.5   nan   nan   nan
17.5   nan   nan   nan
18.5   nan   nan   nan
19.5   nan   nan   nan
