 Date   Conv_RR   Strat_RR   Tot_RR 
 20151203-030000  -0.61467075 0.0 -0.5994
 20151203-030500  -133.19273 -0.5869475 -0.5993793
 20151203-031000  -73.98981 -0.58685863 -0.5992455
 20151203-031500  -29.370792 -0.58673143 -0.59896463
 20151203-032000  -31.204016 -0.5818143 -0.59406316
 20151203-032500  -30.555655 -0.5340674 -0.5524556
 20151203-033000  -25.734411 -0.37593275 -0.39431757
 20151203-033500  -14.528936 -0.1985507 -0.222375
 20151203-034000  -1.2143698 -0.17160285 -0.17488757
 20151203-034500  2.7907512 -0.17128249 -0.15526895
 20151203-035000  3.0526834 -0.14779334 -0.12705027
 20151203-035500  2.3288376 -0.11746874 -0.10003877
 20151203-040000  4.825189 -0.109839484 -0.07332023
 20151203-040500  5.069475 -0.089188494 -0.049531274
 20151203-041000  5.835599 -0.08190921 -0.039931923
 20151203-041500  6.1358213 -0.07616218 -0.035240706
 20151203-042000  5.468443 -0.07049087 -0.031891383
 20151203-042500  5.0530267 -0.06121647 -0.022444114
 20151203-043000  7.088368 -0.059650164 -0.007112271
 20151203-043500  6.8569846 -0.04244051 0.0105557125
 20151203-044000  6.7309093 -0.028968498 0.031363435
 20151203-044500  6.3327036 0.0017999901 0.065544225
 20151203-045000  6.9486175 0.027774574 0.0995783
 20151203-045500  6.89544 0.06247262 0.12977743
 20151203-050000  6.456448 0.086280234 0.15635203
 20151203-050500  7.2242517 0.085770085 0.1697811
 20151203-051000  7.188397 0.094382614 0.17773728
 20151203-051500  6.3866563 0.110245496 0.193251
 20151203-052000  7.088758 0.113217525 0.2112675
 20151203-052500  6.9146433 0.13685949 0.23594217
 20151203-053000  7.011171 0.1449859 0.2569476
 20151203-053500  7.153976 0.16636924 0.27559432
 20151203-054000  6.925037 0.17974308 0.28391573
 20151203-054500  6.6887345 0.19529836 0.2932275
 20151203-055000  7.8065405 0.2027017 0.30920297
 20151203-055500  7.589297 0.24179079 0.3372624
