 Date   Conv   Strat   Tot 
 20151203-030000  -inf nan -inf
 20151203-030500  -inf -inf -inf
 20151203-031000  -inf -inf -inf
 20151203-031500  -inf -inf -inf
 20151203-032000  -inf -inf -inf
 20151203-032500  -inf -inf -inf
 20151203-033000  -inf -inf -inf
 20151203-033500  -inf -inf -inf
 20151203-034000  -inf -inf -inf
 20151203-034500  inf -inf -inf
 20151203-035000  inf -inf -inf
 20151203-035500  inf -inf -inf
 20151203-040000  inf -inf -inf
 20151203-040500  inf -inf -inf
 20151203-041000  inf -inf -inf
 20151203-041500  inf -inf -inf
 20151203-042000  inf -inf -inf
 20151203-042500  inf -inf -inf
 20151203-043000  inf -inf -inf
 20151203-043500  inf -inf inf
 20151203-044000  inf -inf inf
 20151203-044500  inf inf inf
 20151203-045000  inf inf inf
 20151203-045500  inf inf inf
 20151203-050000  inf inf inf
 20151203-050500  inf inf inf
 20151203-051000  inf inf inf
 20151203-051500  inf inf inf
 20151203-052000  inf inf inf
 20151203-052500  inf inf inf
 20151203-053000  inf inf inf
 20151203-053500  inf inf inf
 20151203-054000  inf inf inf
 20151203-054500  inf inf inf
 20151203-055000  inf inf inf
 20151203-055500  inf inf inf
