 Date   Con   Strat   Tot 
0.1 5467 781264 786731
0.12223047153898127 5338 814733 820071
0.1494028817264171 5795 845183 850978
0.18261584682702608 5968 865916 871884
0.22321221068157776 6558 843922 850480
0.2728333376486768 8018 825429 833447
0.3334854751235185 8193 799020 807213
0.40762086875748876 7325 795767 803092
0.4982369099735705 8323 780390 788713
0.6089973244419449 8658 752398 761056
0.7443803013251689 8882 712261 721143
0.9098595523530434 8141 619414 627555
1.1121256211835888 7960 531058 539018
1.3593563908785256 7835 475470 483305
1.6615477264660987 8322 452708 461030
2.0309176209047357 9019 433944 442963
2.482400184600118 9676 403066 412742
3.034249451121265 10865 377903 388768
3.7087774117744745 12462 317051 329513
4.533256118743164 14051 232859 246910
5.541020330009492 15715 140931 156646
6.772815277441416 17752 80722 98474
8.278444050080804 18741 39038 57779
10.118781198504509 18525 18708 37233
12.368233972929833 15181 8853 24034
15.117750706156615 10597 4247 14844
18.478497974222908 6129 1688 7817
22.586355207213767 3099 630 3729
27.60740847324662 1182 208 1390
33.74466555654202 373 48 421
41.24626382901352 107 7 114
50.415502770415465 16 3 19
61.623106765027 0 0 0
75.3222139758624 0 0 0
92.06669731629698 0 0 0
112.53355826007646 0 0 0
137.5502989008857 0 0 0
168.12837894983065 0 0 0
205.50411038122337 0 0 0
