 Date   Unc_Con   Unc_Strat   Unc_Tot 
 20151203-060519  4356.0 111529.0 115885.0
 20151203-061059  4894.0 112028.0 116922.0
 20151203-061637  5245.0 112956.0 118201.0
 20151203-062216  4549.0 115412.0 119961.0
 20151203-062756  4396.0 116568.0 120964.0
 20151203-063335  4830.0 118524.0 123354.0
 20151203-063914  4953.0 120318.0 125271.0
 20151203-064453  4377.0 121517.0 125894.0
 20151203-065033  4737.0 122585.0 127322.0
 20151203-065611  4185.0 124886.0 129071.0
 20151203-070149  4490.0 125457.0 129947.0
 20151203-070728  3726.0 127450.0 131176.0
 20151203-071308  3708.0 127405.0 131113.0
 20151203-071846  3256.0 128127.0 131383.0
 20151203-072424  2616.0 129323.0 131939.0
 20151203-073003  2387.0 129968.0 132355.0
 20151203-073542  2296.0 130703.0 132999.0
 20151203-074122  1946.0 131229.0 133175.0
 20151203-074701  1782.0 132231.0 134013.0
 20151203-075240  1439.0 132476.0 133915.0
 20151203-075818  1541.0 132941.0 134482.0
 20151203-080357  1770.0 133180.0 134950.0
 20151203-080935  1833.0 132626.0 134459.0
 20151203-081513  1875.0 131946.0 133821.0
 20151203-082053  1496.0 131432.0 132928.0
 20151203-082631  1547.0 130840.0 132387.0
 20151203-083210  1534.0 129554.0 131088.0
 20151203-083748  1465.0 129905.0 131370.0
 20151203-084325  1584.0 129202.0 130786.0
 20151203-084905  1461.0 130443.0 131904.0
 20151203-085443  1292.0 128965.0 130257.0
