 Date   Con   Strat   Tot 
0.1 986 239483 240469
0.12223047153898127 1020 227376 228396
0.1494028817264171 1192 210803 211995
0.18261584682702608 1261 195399 196660
0.22321221068157776 1301 180446 181747
0.2728333376486768 1520 167471 168991
0.3334854751235185 1661 154513 156174
0.40762086875748876 1747 141659 143406
0.4982369099735705 1940 130301 132241
0.6089973244419449 2187 118739 120926
0.7443803013251689 2471 105247 107718
0.9098595523530434 2832 93421 96253
1.1121256211835888 3385 85148 88533
1.3593563908785256 4052 76220 80272
1.6615477264660987 4362 63663 68025
2.0309176209047357 4673 52283 56956
2.482400184600118 5076 41777 46853
3.034249451121265 5463 32246 37709
3.7087774117744745 5444 23379 28823
4.533256118743164 5676 15812 21488
5.541020330009492 5597 10135 15732
6.772815277441416 5121 6161 11282
8.278444050080804 4403 3714 8117
10.118781198504509 6934 72856 79790
12.368233972929833 7144 64068 71212
15.117750706156615 6442 38150 44592
18.478497974222908 4974 17445 22419
22.586355207213767 3215 5574 8789
27.60740847324662 1907 1574 3481
33.74466555654202 1024 662 1686
41.24626382901352 594 288 882
50.415502770415465 280 112 392
61.623106765027 126 48 174
75.3222139758624 39 8 47
92.06669731629698 12 0 12
112.53355826007646 4 0 4
137.5502989008857 1 0 1
168.12837894983065 1 0 1
205.50411038122337 0 0 0
